当前模型,准确率,预测耗时,学习率,hidden size,batch size,pooling style
rcnn,0.88,128075,0.001,128,128,max
rcnn,0.53,108853,1e-05,64,64,avg
rcnn,0.66,104555,1e-05,64,64,max
rcnn,0.5,90765,1e-05,64,128,avg
rcnn,0.5,83413,1e-05,64,128,max
rcnn,0.75,141950,1e-05,128,64,avg
rcnn,0.77,147434,1e-05,128,64,max
rcnn,0.72,123779,1e-05,128,128,avg
rcnn,0.73,130812,1e-05,128,128,max
bert,0.5,301834,0.001,64,64,avg
bert,0.5,991885,0.001,64,64,max
bert,0.5,519499,0.001,64,128,avg
bert,0.5,57971,0.001,64,128,max
bert,0.5,578453,0.001,128,64,avg
bert,0.5,655787,0.001,128,64,max
bert,0.5,884438,0.001,128,128,avg
bert,0.5,979334,0.001,128,128,max
bert,0.84,186848,1e-05,64,64,avg
bert,0.9,759265,1e-05,64,64,max
bert,0.86,804580,1e-05,64,128,avg
bert,0.88,100004,1e-05,64,128,max
bert,0.88,919715,1e-05,128,64,avg
bert,0.87,889155,1e-05,128,64,max
bert,0.86,729872,1e-05,128,128,avg
bert,0.88,741086,1e-05,128,128,max
bert_lstm,0.5,98228,0.001,64,64,avg
bert_lstm,0.5,104550,0.001,64,64,max
bert_lstm,0.5,931670,0.001,64,128,avg
bert_lstm,0.5,175714,0.001,64,128,max
bert_lstm,0.5,119782,0.001,128,64,avg
bert_lstm,0.5,120451,0.001,128,64,max
bert_lstm,0.5,941627,0.001,128,128,avg
bert_lstm,0.5,957228,0.001,128,128,max
bert_lstm,0.81,35881,1e-05,64,64,avg
bert_lstm,0.82,139114,1e-05,64,64,max
bert_lstm,0.79,110689,1e-05,64,128,avg
bert_lstm,0.85,6734,1e-05,64,128,max
bert_lstm,0.82,64846,1e-05,128,64,avg
bert_lstm,0.85,101765,1e-05,128,64,max
bert_lstm,0.83,892829,1e-05,128,128,avg
bert_lstm,0.81,521302,1e-05,128,128,max
bert_cnn,0.5,492559,0.001,64,64,avg
bert_cnn,0.5,161787,0.001,64,64,max
bert_cnn,0.5,127250,0.001,64,128,avg
bert_cnn,0.5,648153,0.001,64,128,max
bert_cnn,0.5,824526,0.001,128,64,avg
bert_cnn,0.5,751741,0.001,128,64,max
bert_cnn,0.5,636754,0.001,128,128,avg
bert_cnn,0.5,682950,0.001,128,128,max
bert_cnn,0.83,727094,1e-05,64,64,avg
bert_cnn,0.81,808309,1e-05,64,64,max
bert_cnn,0.8,621978,1e-05,64,128,avg
bert_cnn,0.82,731757,1e-05,64,128,max
bert_cnn,0.86,764176,1e-05,128,64,avg
bert_cnn,0.83,813158,1e-05,128,64,max
bert_cnn,0.83,697584,1e-05,128,128,avg
bert_cnn,0.83,171312,1e-05,128,128,max
bert_mid_layer,0.5,527651,0.001,64,64,avg
bert_mid_layer,0.5,758667,0.001,64,64,max
bert_mid_layer,0.5,55128,0.001,64,128,avg
bert_mid_layer,0.5,664436,0.001,64,128,max
bert_mid_layer,0.5,504395,0.001,128,64,avg
bert_mid_layer,0.5,410765,0.001,128,64,max
bert_mid_layer,0.5,388552,0.001,128,128,avg
bert_mid_layer,0.5,235597,0.001,128,128,max
bert_mid_layer,0.82,478647,1e-05,64,64,avg
bert_mid_layer,0.81,656418,1e-05,64,64,max
bert_mid_layer,0.81,374583,1e-05,64,128,avg
bert_mid_layer,0.79,359786,1e-05,64,128,max
bert_mid_layer,0.83,499307,1e-05,128,64,avg
bert_mid_layer,0.81,689319,1e-05,128,64,max
bert_mid_layer,0.83,549882,1e-05,128,128,avg
bert_mid_layer,0.81,88077,1e-05,128,128,max
